ACO_ID,ACO First Agreement Start Date,ACO_NUM
A1776,1/1/2013,A92852
A1784,1/1/2013,A64742
A1787,1/1/2013,A18259
A1821,1/1/2013,A17182
A1833,1/1/2013,A31015
A1838,1/1/2013,A54790
A1854,1/1/2013,A16027
A2000,1/1/2013,A65320
A2003,1/1/2013,A22326
A2009,1/1/2014,A68749
A2011,1/1/2014,A16779
A2013,1/1/2014,A41997
A2016,1/1/2014,A50496
A2017,1/1/2014,A80939
A2018,1/1/2014,A55446
A2019,1/1/2014,A66745
A2021,1/1/2014,A07425
A2024,1/1/2014,A74161
A2029,1/1/2014,A29052
A2030,1/1/2014,A50010
A2031,1/1/2014,A63217
A2032,1/1/2014,A45396
A2033,1/1/2014,A28160
A2035,1/1/2014,A65270
A2045,1/1/2014,A78634
A2057,1/1/2014,A90093
A2058,1/1/2014,A19855
A2061,1/1/2014,A69078
A2062,1/1/2014,A33017
A2067,1/1/2014,A07527
A2070,1/1/2014,A80995
A2074,1/1/2014,A78902
A2077,1/1/2014,A11600
A2079,1/1/2014,A37040
A2083,1/1/2014,A97104
A2084,1/1/2014,A46189
A2085,1/1/2014,A60540
A2086,1/1/2014,A63462
A2087,1/1/2014,A79092
A2091,1/1/2014,A54247
A2097,1/1/2014,A52095
A2098,1/1/2014,A55910
A2100,1/1/2014,A29818
A2105,1/1/2014,A81860
A2107,1/1/2014,A74238
A2108,1/1/2014,A13467
A2110,1/1/2014,A35862
A2111,1/1/2014,A30390
A2113,1/1/2014,A69881
A2114,1/1/2014,A53129
A2120,1/1/2014,A39818
A2121,1/1/2014,A60310
A2123,1/1/2014,A13131
A2126,1/1/2014,A29332
A2129,1/1/2014,A26254
A2140,1/1/2014,A80460
A2141,1/1/2014,A39151
A2142,1/1/2014,A12732
A2145,1/1/2014,A82427
A2147,1/1/2014,A02094
A2148,1/1/2014,A89091
A2154,1/1/2014,A02865
A2156,1/1/2014,A33172
A2158,1/1/2014,A34484
A2162,1/1/2014,A58599
A2163,1/1/2014,A07886
A2164,1/1/2014,A10440
A2170,1/1/2014,A17931
A2171,1/1/2014,A80878
A2187,1/1/2014,A07386
A2189,1/1/2014,A36039
A2193,1/1/2014,A27492
A2198,1/1/2014,A76825
A2202,1/1/2014,A40650
A2203,1/1/2014,A16786
A2205,1/1/2014,A22925
A2207,1/1/2014,A47465
A2210,1/1/2014,A01307
A2213,1/1/2014,A68410
A2217,1/1/2014,A29971
A2220,1/1/2014,A37594
A2223,1/1/2014,A25380
A2227,1/1/2014,A81718
A2229,1/1/2014,A23913
A2230,1/1/2014,A50147
A2246,1/1/2014,A40225
A2247,1/1/2014,A07004
A2249,1/1/2014,A17106
A2251,1/1/2014,A15030
A2252,1/1/2014,A73981
A2259,1/1/2014,A90742
A2261,1/1/2014,A81453
